        0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19 
------------------------------------------------------------------------------------------
  0 |   0   8   7   2   4   2   8   3   5   2   6   3   4   3   4   4   7   5   3   5 
  1 |   8   0   1   4   1   8   6   7   3   7   4   4   8   2   3   7   3   6   8   2 
  2 |   7   1   0   1   4   3   6   6   6   8   1   2   7   5   4   3   6   7   4   5 
  3 |   2   4   1   0   5   2   7   3   5   2   2   6   5   8   1   2   7   2   2   2 
  4 |   4   1   4   5   0   5   8   7   2   7   8   3   5   4   7   8   1   5   3   5 
  5 |   2   8   3   2   5   0   1   4   4   3   8   5   5   5   1   4   5   3   3   7 
  6 |   8   6   6   7   8   1   0   4   4   3   3   3   4   2   2   7   6   5   5   5 
  7 |   3   7   6   3   7   4   4   0   6   1   7   2   2   2   5   4   1   2   8   6 
  8 |   5   3   6   5   2   4   4   6   0   2   4   2   4   6   8   8   1   2   2   3 
  9 |   2   7   8   2   7   3   3   1   2   0   6   3   4   4   1   1   8   5   6   8 
 10 |   6   4   1   2   8   8   3   7   4   6   0   4   7   1   5   4   5   6   5   4 
 11 |   3   4   2   6   3   5   3   2   2   3   4   0   3   6   7   4   2   4   4   1 
 12 |   4   8   7   5   5   5   4   2   4   4   7   3   0   5   5   2   7   2   5   3 
 13 |   3   2   5   8   4   5   2   2   6   4   1   6   5   0   5   5   3   4   1   8 
 14 |   4   3   4   1   7   1   2   5   8   1   5   7   5   5   0   4   4   6   4   1 
 15 |   4   7   3   2   8   4   7   4   8   1   4   4   2   5   4   0   1   8   6   5 
 16 |   7   3   6   7   1   5   6   1   1   8   5   2   7   3   4   1   0   4   8   3 
 17 |   5   6   7   2   5   3   5   2   2   5   6   4   2   4   6   8   4   0   2   3 
 18 |   3   8   4   2   3   3   5   8   2   6   5   4   5   1   4   6   8   2   0   4 
 19 |   5   2   5   2   5   7   5   6   3   8   4   1   3   8   1   5   3   3   4   0 
